Центральный телеграф, ао;central-telegraph-ratios
Центральный Телеграф - акции привилегированные;central-telegraph-(pref)-ratios
Центральный телеграф, ап;central-telegraph-(pref)-ratios
ЦМТ, ао;cmt-ratios
ЦМТ, ап;cmt-(pref)-ratios
Челябинский цинковый завод, ао;chelabinskyi-cinkovyi-zavod-ratios
ЧелябЭС ао;chelyabenergosbyt-ratios
Челябэнергосбыт, ап;chelyab-energosbyt-ap-ratios
ЧЗПСН;chzpsn-profnastil-oao-ratios
ЧЗПСН-Профнастил, ао;chzpsn-profnastil-oao-ratios
ЧКПЗ, ао;chelyabinskiy-kuznechno-presso-ratios
ЧМК;chmk-ratios
ЧМК, ао;chmk-ratios
ЧТПЗ;chtpz-ratios
ЧТПЗ, ао;chtpz-ratios
Электроцинк, ао;electrozinc-ratios
Энел Россия;ogk-5-ratios
Энел Россия (бывш. Энел ОГК-5), ао;ogk-5-ratios
ЮУНК;kombinat-yuzhuralnikel'-oao-ratios
Южно-Уральский никелевый комбинат, ао;kombinat-yuzhuralnikel'-oao-ratios
Южный Кузбасс, ао;south-kuzbass-ratios
Юнипро;e.on-russia-ratios
Юнипро (бывш. Э.ОН Россия), ао;e.on-russia-ratios
ЮТэйр, ао;utair-aviakompaniya-oao-ratios
Якутскэнерго, ао;yakutskenergo-ratios
Якутскэнерго, ап;yakutskenergo-(pref)-ratios
ЯТЭК (бывш. Якутгазпром), ао;yatek-ratios
